Role,Skill,Roadmap_Steps
Site Reliability Engineer,Redis,"[""Week 1: Introduction to Redis Fundamentals & Setup for Site Reliability Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Redis"", ""Week 3: Advanced Redis Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Redis""]"
Database Administrator,Natural Language Processing,"[""Week 1: Introduction to Natural Language Processing Fundamentals & Setup for Database Administrator"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Natural Language Processing"", ""Week 3: Advanced Natural Language Processing Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Natural Language Processing""]"
Security Analyst,Scikit,"[""Week 1: Introduction to Scikit Fundamentals & Setup for Security Analyst"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Scikit"", ""Week 3: Advanced Scikit Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Scikit""]"
Cloud Architect,PostgreSQL,"[""Week 1: Introduction to PostgreSQL Fundamentals & Setup for Cloud Architect"", ""Week 2: Core Concepts, Syntax, and Basic Projects in PostgreSQL"", ""Week 3: Advanced PostgreSQL Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using PostgreSQL""]"
Site Reliability Engineer,Excel,"[""Week 1: Introduction to Excel Fundamentals & Setup for Site Reliability Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Excel"", ""Week 3: Advanced Excel Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Excel""]"
Scrum Master,Ansible,"[""Week 1: Introduction to Ansible Fundamentals & Setup for Scrum Master"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Ansible"", ""Week 3: Advanced Ansible Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Ansible""]"
Backend Developer,Blockchain,"[""Week 1: Introduction to Blockchain Fundamentals & Setup for Backend Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Blockchain"", ""Week 3: Advanced Blockchain Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Blockchain""]"
DevOps Engineer,Penetration Testing,"[""Week 1: Introduction to Penetration Testing Fundamentals & Setup for DevOps Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Penetration Testing"", ""Week 3: Advanced Penetration Testing Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Penetration Testing""]"
Financial Analyst,Flask,"[""Week 1: Introduction to Flask Fundamentals & Setup for Financial Analyst"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Flask"", ""Week 3: Advanced Flask Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Flask""]"
Marketing Specialist,Illustrator,"[""Week 1: Introduction to Illustrator Fundamentals & Setup for Marketing Specialist"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Illustrator"", ""Week 3: Advanced Illustrator Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Illustrator""]"
Game Developer,Flask,"[""Week 1: Introduction to Flask Fundamentals & Setup for Game Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Flask"", ""Week 3: Advanced Flask Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Flask""]"
Site Reliability Engineer,Scrum,"[""Week 1: Introduction to Scrum Fundamentals & Setup for Site Reliability Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Scrum"", ""Week 3: Advanced Scrum Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Scrum""]"
Financial Analyst,C#,"[""Week 1: Introduction to C# Fundamentals & Setup for Financial Analyst"", ""Week 2: Core Concepts, Syntax, and Basic Projects in C#"", ""Week 3: Advanced C# Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using C#""]"
DevOps Engineer,Kubernetes,"[""Week 1: Introduction to Kubernetes Fundamentals & Setup for DevOps Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Kubernetes"", ""Week 3: Advanced Kubernetes Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Kubernetes""]"
QA Engineer,Cryptography,"[""Week 1: Introduction to Cryptography Fundamentals & Setup for QA Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Cryptography"", ""Week 3: Advanced Cryptography Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Cryptography""]"
Site Reliability Engineer,Git,"[""Week 1: Introduction to Git Fundamentals & Setup for Site Reliability Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Git"", ""Week 3: Advanced Git Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Git""]"
Content Creator,Swift,"[""Week 1: Introduction to Swift Fundamentals & Setup for Content Creator"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Swift"", ""Week 3: Advanced Swift Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Swift""]"
AI Researcher,Elasticsearch,"[""Week 1: Introduction to Elasticsearch Fundamentals & Setup for AI Researcher"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Elasticsearch"", ""Week 3: Advanced Elasticsearch Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Elasticsearch""]"
Full Stack Developer,GitLab,"[""Week 1: Introduction to GitLab Fundamentals & Setup for Full Stack Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in GitLab"", ""Week 3: Advanced GitLab Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using GitLab""]"
QA Engineer,Express.js,"[""Week 1: Introduction to Express.js Fundamentals & Setup for QA Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Express.js"", ""Week 3: Advanced Express.js Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Express.js""]"
Backend Developer,Node.js,"[""Week 1: Introduction to Node.js Fundamentals & Setup for Backend Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Node.js"", ""Week 3: Advanced Node.js Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Node.js""]"
Full Stack Developer,Scrum,"[""Week 1: Introduction to Scrum Fundamentals & Setup for Full Stack Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Scrum"", ""Week 3: Advanced Scrum Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Scrum""]"
Digital Marketer,PyTorch,"[""Week 1: Introduction to PyTorch Fundamentals & Setup for Digital Marketer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in PyTorch"", ""Week 3: Advanced PyTorch Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using PyTorch""]"
Site Reliability Engineer,Angular,"[""Week 1: Introduction to Angular Fundamentals & Setup for Site Reliability Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Angular"", ""Week 3: Advanced Angular Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Angular""]"
IT Support Specialist,UX Design,"[""Week 1: Introduction to UX Design Fundamentals & Setup for IT Support Specialist"", ""Week 2: Core Concepts, Syntax, and Basic Projects in UX Design"", ""Week 3: Advanced UX Design Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using UX Design""]"
Data Analyst,Cryptography,"[""Week 1: Introduction to Cryptography Fundamentals & Setup for Data Analyst"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Cryptography"", ""Week 3: Advanced Cryptography Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Cryptography""]"
Sales Executive,Docker,"[""Week 1: Introduction to Docker Fundamentals & Setup for Sales Executive"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Docker"", ""Week 3: Advanced Docker Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Docker""]"
Business Analyst,NumPy,"[""Week 1: Introduction to NumPy Fundamentals & Setup for Business Analyst"", ""Week 2: Core Concepts, Syntax, and Basic Projects in NumPy"", ""Week 3: Advanced NumPy Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using NumPy""]"
Data Scientist,Network Security,"[""Week 1: Introduction to Network Security Fundamentals & Setup for Data Scientist"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Network Security"", ""Week 3: Advanced Network Security Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Network Security""]"
HR Manager,Deep Learning,"[""Week 1: Introduction to Deep Learning Fundamentals & Setup for HR Manager"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Deep Learning"", ""Week 3: Advanced Deep Learning Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Deep Learning""]"
Machine Learning Engineer,Ruby on Rails,"[""Week 1: Introduction to Ruby on Rails Fundamentals & Setup for Machine Learning Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Ruby on Rails"", ""Week 3: Advanced Ruby on Rails Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Ruby on Rails""]"
Video Editor,Scikit,"[""Week 1: Introduction to Scikit Fundamentals & Setup for Video Editor"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Scikit"", ""Week 3: Advanced Scikit Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Scikit""]"
Network Engineer,Scrum,"[""Week 1: Introduction to Scrum Fundamentals & Setup for Network Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Scrum"", ""Week 3: Advanced Scrum Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Scrum""]"
Technical Writer,Flask,"[""Week 1: Introduction to Flask Fundamentals & Setup for Technical Writer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Flask"", ""Week 3: Advanced Flask Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Flask""]"
HR Manager,PostgreSQL,"[""Week 1: Introduction to PostgreSQL Fundamentals & Setup for HR Manager"", ""Week 2: Core Concepts, Syntax, and Basic Projects in PostgreSQL"", ""Week 3: Advanced PostgreSQL Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using PostgreSQL""]"
Data Analyst,UI Design,"[""Week 1: Introduction to UI Design Fundamentals & Setup for Data Analyst"", ""Week 2: Core Concepts, Syntax, and Basic Projects in UI Design"", ""Week 3: Advanced UI Design Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using UI Design""]"
Product Manager,UI Design,"[""Week 1: Introduction to UI Design Fundamentals & Setup for Product Manager"", ""Week 2: Core Concepts, Syntax, and Basic Projects in UI Design"", ""Week 3: Advanced UI Design Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using UI Design""]"
Sales Executive,MongoDB,"[""Week 1: Introduction to MongoDB Fundamentals & Setup for Sales Executive"", ""Week 2: Core Concepts, Syntax, and Basic Projects in MongoDB"", ""Week 3: Advanced MongoDB Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using MongoDB""]"
Data Engineer,NoSQL,"[""Week 1: Introduction to NoSQL Fundamentals & Setup for Data Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in NoSQL"", ""Week 3: Advanced NoSQL Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using NoSQL""]"
Accountant,Scikit,"[""Week 1: Introduction to Scikit Fundamentals & Setup for Accountant"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Scikit"", ""Week 3: Advanced Scikit Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Scikit""]"
Video Editor,NumPy,"[""Week 1: Introduction to NumPy Fundamentals & Setup for Video Editor"", ""Week 2: Core Concepts, Syntax, and Basic Projects in NumPy"", ""Week 3: Advanced NumPy Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using NumPy""]"
Digital Marketer,Docker,"[""Week 1: Introduction to Docker Fundamentals & Setup for Digital Marketer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Docker"", ""Week 3: Advanced Docker Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Docker""]"
DevOps Engineer,Illustrator,"[""Week 1: Introduction to Illustrator Fundamentals & Setup for DevOps Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Illustrator"", ""Week 3: Advanced Illustrator Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Illustrator""]"
IT Support Specialist,Machine Learning,"[""Week 1: Introduction to Machine Learning Fundamentals & Setup for IT Support Specialist"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Machine Learning"", ""Week 3: Advanced Machine Learning Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Machine Learning""]"
UI/UX Designer,Photoshop,"[""Week 1: Introduction to Photoshop Fundamentals & Setup for UI/UX Designer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Photoshop"", ""Week 3: Advanced Photoshop Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Photoshop""]"
Technical Writer,Tableau,"[""Week 1: Introduction to Tableau Fundamentals & Setup for Technical Writer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Tableau"", ""Week 3: Advanced Tableau Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Tableau""]"
